img_id,phase,iou_RV,dice_RV,hd_RV,assd_RV,iou_MYO,dice_MYO,hd_MYO,assd_MYO,iou_LV,dice_LV,hd_LV,assd_LV
A2C0I1,ES,0.15486491259051466,0.26819571865444547,38.1051177665153,7.858054380046907,0.017169095627879643,0.03375858684986228,52.10566188045211,5.382984388374952,0.04436906377206181,0.08496816941666774,54.12947441089743,8.102715943016982
A2L1N6,ED,0.5378730638458676,0.6995025486703943,50.724747411889595,2.287598110407602,0.0589061293266934,0.11125845378597593,51.048996072400875,8.082476805062212,0.18562610229277793,0.31312755671253895,65.00769185258002,6.408112445005377
A2L1N6,ES,0.3860248871872093,0.5570244672454661,62.321745803531535,3.318462760979132,0.016928218541128907,0.03329284846753566,62.161081071680215,12.110332166703138,0.044230426252915206,0.08471391972674493,64.69930447848725,10.470877682096729
A2N8V0,ED,0.3968943062280949,0.5682524503944589,29.223278392404914,2.7808430708944214,0.02496082381912889,0.048705908048497885,57.59340239992772,6.926911363958,0.24299616632262985,0.390984578884942,23.173260452512935,3.372445077300931
A2N8V0,ES,0.0655940594059695,0.123112659698051,74.06753674856482,7.524658351659865,0.0038629663515400646,0.007696202531655618,62.57795138864806,9.674000671660927,0.044205495818418074,0.08466819221969708,42.95346318982906,5.309262254698329
A3H1O5,ED,0.46436086270384713,0.6342164346654725,22.627416997969522,1.1505868511532358,0.016933776837022307,0.03330359797800542,77.13624310270757,11.671051092075048,0.35798511734402566,0.5272298094756405,21.6794833886788,1.9400060499567835
A3H1O5,ES,0.17071445413819453,0.2916414904330455,36.22154055254967,2.3534463635019742,0.0027843662988655997,0.005553270259162839,84.52810183601665,18.269519344169087,0.04807692307694214,0.0917431192660724,50.57667446560717,4.609145857434027
A4B5U4,ED,0.1184267105096772,0.21177375217676636,19.026297590440446,3.701019332452347,0.030572519083973168,0.059331135883859645,21.61018278497431,5.103678270916745,0.001827332095144084,0.003647998086299065,49.13247398615299,16.041949160802258
A4B5U4,ES,0.12555552526106517,0.2230996560244193,21.18962010041709,3.8463828747494766,0.03950045884371768,0.07599892526772704,18.0,4.956159031268523,0.005778491171754159,0.011490584104696496,57.0,14.771209837960452
A4J4S4,ED,0.2502738225629851,0.40035041611914524,94.36630754670864,7.080441183953003,0.03072525902108588,0.05961871750433928,46.92547282660026,4.905258998828975,0.0319430315361205,0.061908517350163894,55.226805085936306,11.89383013284786
A4J4S4,ES,0.1245733788396029,0.22154779969651972,100.72735477515529,11.429509053605472,0.05550581915846956,0.10517387616625101,56.806689746895124,4.536330029793511,0.026881720430120604,0.052356020942420776,63.33245613427605,12.488809246507609
A4U9V5,ED,0.5949793523147185,0.746065272194592,52.54521862167861,1.3212807935612525,0.12719979296067382,0.22569165423029244,57.706152185014034,3.2894782529597704,0.3640026863666944,0.5337272279665218,32.55764119219941,2.2823711029421325
